Data ,Label
सबका सब रोगि अचेत सुड्डोहरु ओखतीमूलो को भरमा उभ्भिएका ल्याङ्ते बुडाहरु देस बनाउन लागेका छन,0
आज पाल्तु प्रहरीले दुई युवालाई रास्ट्रपती र प्रधानमन्त्रीको जोक बनाएको अभियोगमा पक्रिएको सुन्दै गर्दा गणतन्त्र त्यही दिन आउँछ जस्तो लाग्दैछ जुन दिन केपि वली मर्नेछ,0
होस गर आफै बन्द होलास,0
सरकार सक्छस भने बलत्कारिलाई समातेर देखा  बिचरा तीन लाई किन समातछस ,0
झन्डै  गु झर्ने गरि हान्यो डन्ठे ले,0
गफ लगाउछस ,0
यो पनि ति नै काम चोर त हुन् नि,0
जनताको मुख टाल्ने काम मात्र हो यो देखावोटि,0
केही पाउन केही गुमाउनु पर्छ,2
ज्यानको बाजि चल्दै छ यहाँ,2
राम्रो-नराम्रो भन्दा पनि हुने तथ्य यहि नै हो,2
असली मायामा कचेरा पुछ्दै भिडियोकल गरिन्छ,2
मेकअप त भ्रम मात्रै हो,2
हेरुम अब के भनी लुकाउछन आफ्नो ज्यादती लाई,2
यस्मा गल्ती दुबै पक्षको देख्छु म चाहिँ,2
वास्तवमा हामी यो गर्न चाहन्छौं,2
दशै आउनु भनेको कागलाई बेल पाक्यो हर्ष न बिस्मात जस्तै हो,2
अस्ति को झ्याप ले चोदेको छैन क्या,2
खसी बिना दसै कसरी आउछ्,2
सरसफाइ गर्दै गर्दा को फोटो खिच्नु,2
"बरु दुइ दिनको घुस देउन, दुइ दिनको तलब त थोरै भयो",0
बरु २ प्लेट मम खानेहो तर पैसा दान नदिने हो,0
भुत्रोको सहयोग गर्नु,0
के पी बाको र बिद्या देवीको जोडी राम्रो छैन,0
देश को लुटेरा हरुको बिल्ला हानेको ठिक छ,0
थुक्क मुजी आफुले जाबो फेसबूकमा बिल्ला भाको देख्न सक्दैनस,0
विद्याको अगाडी हेरो हुन तेस्तो नाटक गरेको हो,0
Muji j lai pani craze navantah,0
Timi nisturi vayarani,0
सबै स्वार्थ मै चलेको हुन्छन,0
Dherai dukh lagyo,0
यत्रो हुन्छ समृध्द राष्ट,0
मोैलिक अधिकार माथि हनन हुन्छ,0
जब सम्म नातावाद  कृपावाद  नेतावाद पुजिवाद इत्यादिको बिगबिगी हुन्छ तबसम्म न्याय क्षेत्रमा केही आशा नगरे हुन्छ,0
सुसासनयुक्त अनि मर्यादित बनाउनु,0
विडम्वना जे नहून पर्ने हो त्यो नै हून्छ यहा,0
राजनितिक दवाव र नातावाद भष्टाचारी,0
Aafu bhanda Handsome bhayerw hola dekhdai rish uthch,0
नेपालमा न्याय नै पाउन निकै गाह्रो छ जस्तो लाग्छ,0
न्यायको विपरित हुने काम गरेकै देखिन्छ,0
Nepal ma kehi hunewala chhaina,0
Nayalaya lai rajnaitik aguwa haru le sanchalan garnu hudaina ra aafna ra aafanta vana xodanu parx,0
झोले कार्यकर्ताहरु,0
अरु कुरा सबै गफ हुन,0
चाकडी दलाली र भष्टाचारी,0
बिचरा,0
पिडितहरु अहिले गाँस बाँस कपास विहिन भएका छन्,0
यस्तो काम मन पर्दैन,0
उनिहरुले तराईका रैथाने नेपालीलाई कहिल्यै राम्रो होस् भन्ने चाहदैन ,0
नेपाली बीर गोर्खाली भन्ने त इतिहासमा पढ्न मात्र पाइन्छ देख्न त कहिल्यै पाइएन,0
यहाँ दलाल ठेकेदारहरुले देश चुसेर सकिसके,0
This is disrespectful साला आकासले नि मेकअप गरेको छैन,0
ब्रम्हाले हैन शिव संकरले गाजाको धुवा फालेर यो galaxy बनेको हो,0
यस्तो जाडो दिनमा पनि के चटक हो,0
के कति छेती भयो बिवरण पाउन,0
आजकालका केटाकेटी सहयोग त चाक तिरा हलेर हिडेका छन,0
लुट्न सक्य लुट् कान्छ लुट्न सक्य लुट्,0
ङै हुर्केको दुई साथिले गेडा समाएर पैसा कमाए एउटा सन्दिपले अर्कि उनिले,0
म लास्ट रिसाउछु है गाइज,0
Live हेर्दैछु भन्न पर्दैन जाठा,0
धोबी पछाड खायो आज,0
दरो चुट्यो मोराहरूले,0
बादर झै लखेट्ने दिन हरु नजिकिदैछन जस्तो लाग्छ मलाई,0
राम्रो औरेजि जान्दोरछौ उद्योगमन्त्री यादव लाई पनि सिकादेउन लास्टै बेजत गरो अस्ति औरेजि बोलेर,0
Dear मर्न नसकेकी ex फोटो हाल्दा अलि edit गरेर हाल्ने ग,0
यो समाजले accept गर्ला,0
युद्ध त तिमी र म बिच थियो तर सहिद हाम्रो माया बन्न पुगेछ,0
नेत्र विक्रम चन्द विप्लव नेतृत्वको नेपाल कम्युनिष्ट पार्टीद्वारा वैशाख ५ गते नेपाल बन्दको आह्वान,0
अंग्रेजिमा Foodmario नेपालीमा भातमारा,0
थुक्क साला यस्ता धोती को birthday मा पिक हालेर wish गर्ने अस्ति मेरो जन्म दिन मा किन हालिनस,0
म त नेपाली हुम यार नेपाली भन्दा धोती ठूलो तलाइ,0
Naam ni ramrari lekhna naaune le kna post halnu ho,0
बर्थ डे विष भोलि दियेको भयेनी हुने रुटिने कि त बिहानै दिनु भुलिस क्या हो मुला येति बेला विष पो गर्छ,0
याे गधाको अनुहार परेको घोडालाई पनि birthday wish गर्नु पर्ने हामीले थुक्क,0
आलु,0
आफ्नो आमाको जन्मदिन थाहा नहुनी भुराहरुको नाटक,0
झल्लु,0
chuchho manav,0
xya,0
hepdira k,0
maile talai nachineko hora kasto xas,0
aakha futaidinu parney ttero ta,0
Sab modi vaiyaa ko khel,0
यिनिहरुको भ्रष्टाचार,0
धार्मिक अतिवाद विरुद्धको आक्रमण हो,0
राष्ट्रको अहितमा काम गर्ने राष्ट्रघाती हरुलाई सिधै ठोक्ने बेला हो,0
कुकुर लाई बिच रोडमा ल्यायेर मारनु प्रछ,0
CHOR FATA,0
Sala kutta goli thok hunxa,0
रेखी हानेको कि कपाल नि त्यस्तो कोरेको अलि बुझिएन,2
हाम्रो गाउँ को रोड भन्दा नि ठूलो रहेछ लाईन त,2
कति गाडी पार्किङ्ग गर्न मिल्ला,2
Pokhara university better then stanford university,2
कुकुर भन्दा मान्छेको भाउ कम रहेछ कुकुर मानव बन्दै  मानव पशु बन्दै,2
अघि live scores app मा देखेको थिये बिस्वास लाग्या थियेन बल्ल बिस्वास लागो,2
हेरेको थिए तर बिस्वस नलागेर तपाईंको पोस्ट हेरेको हो रहेछ,2
हेरुम अब के भनी लुकाउछन आफ्नो ज्यादती लाई,2
यस्मा गल्ती दुबै पक्षको देख्छु म चाहिँ,2
के वास्तवमा हामी यो गर्न चाहन्छौं,2
अस्ति को झ्याप ले चोदेको छैन क्या रुतिने,2
सरसफाइ गर्दै गर्दा को फोटो खिच्नु,2
सामाजिक सन्जालमा अपलोड गर्नु,2
कसरि सार्थकता पाउलार सफाई अभियानले,2
नेपाललाई लिएर जज लाई गाली गर्नु मुर्खता हो,2
Bhattarai Daka ho,0
thekka leko xu,0
Pu is no pokhara university Itz actually means Pakhe university,0
आमा माया,0
बादर झै लखेट्ने दिन हरु नजिकिदैछन जस्तो लाग्छ मलाई,0
दशै आउनु भनेको कागलाई बेल पाक्यो हर्ष न बिस्मात जस्तै हो,0
ज्यानको बाजि चल्दै छ यहाँ,0
"योग्यता, क्षमता, इमानदार, सक्षम, निडर, बरिष्ट",1
सेनालाई जिम्मेवारी तथा साथ दिनु एकदमै सराहनीय कुरा हो,1
राम्रो कुरा हो सेनालाई यो मात्र होइन राष्ट्रका हरेक अायोजनाका काम दिदा उत्तम हुन्छ,1
समाज सेवी हातहरुलाई लाखौ लाख सलाम छ,1
घाईते सम्पुर्णमा शिघ्र स्वास्थ लाभ को कामना,1
सार्है दुख लाग्यो मृतकहरु को आत्माले चिर शान्ति पावोस् साथै घाइते भएकाहरुका लागि स्वास्थ्य लाभ कामना तथा सोकाकुल परिवार प्रति समवेदना प्रकट गर्दछौं,1
हार्दिक श्रद्धाञ्जली,1
मान्छे सानो सानो कुरामा खुशी हुन हाँस्न जान्नु पर्छ रे,1
नराम्रो कमेन्ट गर्न हुन्न पाप लाग्छ,1
फोटो हाल्दा अलि इडिट गरेर हाल,1
आज देश र जनताको सुरक्षा दिने सरकारी कर्मचारी जनताको कर बाट परिवार पाल्ने ले अर्को नागरिक लाई लडाएर हिँड्यो रोकेर उपचार को लागी सहयोग सम्म गरेन,0
सर्बसाधरण जनतामाथि यस्तो ज्यादती गर्ने नकचरा नकचरीहरुलाई टँडिखेलमा राखेर कंचटमा हानेर कसैले त उँडाइदिए त टन्टै साफ यार,0
आफ्नै बाउ को बिर्ता जतिकै गरेर बाटबाटो मान्छे ठोक्दै हिड्ने यी सरकारी भरौटे हरु ले के सम्झिन्छन् हौं मान्छे को शरीर लाई किरा फटयांग्रा जतिको पनि गन्दैन्न त,0
मुजि बर्दी लाए भन्दै मा मनपरी गर्दै हिड्ने,0
मेरो मोबाईल ले काम गरेको छैन,2
के तपाईं DFLP को बारेमा अलिकति बन्न सक्नुहुन्छ? ,2
यो सामान नेपालमा भरि उपलब्ध हुनुपर्छ ,2
यसको मूल्य कति ,2
मूल्य कृपया,2
ब्रिज मेकअप गर्नको लागि सबै सामान पाइन्छ ,2
"पीपी मलाई यो चाहिन्छ, म यो कसरी प्राप्त गर्न सक्छु?",2
यो अफर कति दिनसम्म हुनेछ ,2
कति हो मिलाएर ,2
चार जना साक्षी राखेर त्यो गाडी सहित ड्राइभरलाई जलाईदेउ बाकी हेरौला,0
येस्तै येस्तै कारण हो बिप्लब हरु को जन्म हुने येस्ता पातकी लाई ठाउँ को ठाउँ कार्वाही गर बिप्लव दाजै,0
साला खाते police हरु जन्ता लाई सुरक्षा दिने काम हो उल्टै जनता लाई कुल्चेर हिन्छन दानव हरु,0
कता गएछन विप्लवको टिम यस्तो कुकुर पुलिस फोर्सको गाडिमा किन बम पड्किदैन,0
यस्ता भातमारा पुलिसले त जनतालाई हेप्छ अनि नेताहरुले यत्रो नहेपोस,0
या आयेर जति सुकै देशभक्ति देखाएपनी सरकारलाई घन्टा फराक पर्ने वाला छैन,0
तेसको बाउहरुले बनाईदेको बाटो होला तेही भएर तेसरी आखँइ नहेरी चलाको होला साला डन्ठेहरु,0
थुईइक तिमीहरुको कुहिएको बुद्दी,0
आफ्ना प्रोडक्टहरु धेरैभन्दा धेरै बिक्रि होस् भन्ने चाहन्छन् जुन आफैमा नराम्रो कुरा हैन,1
हेरेको थिए तर बिस्वस नलागेर तपाईंको पोस्ट हेरेको हो रहेछ,1
देशका सबै युवा उठौ लागौ देश को मन सफाइमा,1
Nepal bandai xa,1
Happy birthday legend,1
मैले यो मेरो  पति र चाचालाई क्रिसमस उपहारको रूपमा दिए,2
मैले मेरो फायर एचडीलाई 8 दुई हप्तामा गरेको छु र म यो मनपरौछु ,2
मैले यो मेरो  छोरीको लागि किनेको थिएँ जब मैले भेट्टाएकी छु,2
खोइ त कुपन नैइ एसेप्ट गर्दैन त ,2
तपाईंले नेपालका चुनिंदा शहरहरूलाई डेलिभरी गरेर सबै नेपालमा वितरण गर्छै किन भन्नहुन्छ कृपया जनतालाई भ्रमा नपार्नुहोस्,2
मलाई जरुरी कुरा सबै  गर्दछ,2
ज्येष्ठ नागरिक परिवारका मार्गदशक व्यक्तित्व हुन्,2
Mailey kineko saman paye,2
सेवा दिन को लागि आझै धेरै नै कुरा सुधार गर्न पर्ने छ,2
दिनु भएको सुबिधा धेरै नराम्रो पनि होइन,2
नेपाल एक कृषि देश हो,2
म विरामी महसुस गर्दैछु,2
म खेल मनोरञ्जनको लागि खेल्छु,2
स्केच त राम्रै हो कपालमा कसले इरेजर लगाइदिएछ पछि,1
जन्मदिनको सुभकामना आलु अर्जुन,1
timi sarai ramro,1
pOkHarA uNiVeRSitY iS LoVE,1
देशका सबै युवा उठौ लागौ देश को मन सफाइमा,1
खसी बिना दसै कसरी आउछ्,1
मेकअप त भ्रम मात्रै हो,1
असली मायामा कचेरा पुछ्दै भिडियोकल गरिन्छ,1
नेपाललाई लिएर जज लाई गाली गर्नु मुर्खता हो,1
आफ्ना प्रोडक्टहरु धेरैभन्दा धेरै बिक्रि होस् भन्ने चाहन्छन् जुन आफैमा नराम्रो कुरा हैन,1
राम्रो-नराम्रो भन्दा पनि हुने तथ्य यहि नै हो,1
नेपाललाई लिएर जज लाई गाली गर्नु मुर्खता हो,1
आफुले आफै लाई राम्रो भन्नी ठान्नु पनि राम्रै हो,1
ko ho yo fatta,0
नेपाली कांग्रेस सुतेको सुतैछ,0
अनुहार हेरे पनि लोद्दर लाग्छ यो बिदेशी हरु को पाल्तु कुकुर को,0
सबै पाटिका 60 काटेका सबै नेतालाई बरखास्त गनुँ पछँ,0
"तिमीहरू कै बाटोमा छन् डबल नेकपा मिलेर लुट् अनि खाउ देशको मुटु कलेजो,हजार पुस्ता सम्म देश र माटोको अासुको भार बोक्नेछ तिमीहरूको पुस्ताले",0
मुखमा घाँस हालेको छ अनि के बोल्ने त,0
उ आफैले घाँस खाएर बहुलाएको बेला अरुलाई के प्रश्न गरेको,0
Gadha bacha gadha nai huncha tyaisaile tyo saale gadha nai ho,0
Tyo vate Bhattarai lai k chetana vaya vane aba sarkar le sajaye nadiye janata le talai fasi dinexan chetana vaya,0
यो सबै भन्दा फटा देशद्रोही हो,0
धार्मिक अतिवाद विरुद्धको आक्रमण हो,0
सामाजिक सन्जालमा अपलोड गर्नु,2
कसरि सार्थकता पाउलार सफाई अभियानले,2
सायद पुलिस रोनाल्डो को सपोटर रहेछन,2
लौ सुत्नी बेला पनि भैसकेछ कति चाडो,2
बन्द को हल्ला आयो ,2
मलाई भन्या भए यो भन्दा राम्रो pic पठाईदिन्थे नि,2
सन्ध्या र आरती भन्दै नढाट है केटा को अनुहार छ त सबैमा,2
लु first भयर देखाओ अब,2
कुनै बेला मैले नि बनाथें तर ओठ चै कमेडी भैदिरा,2
टाउको को बिचमा चैँ के को खत हो,2
कपाल र दारी मेरो जस्तै पाल्न खोज्या रैछ अलि भाछैन रे भन्दिनु है,2
